alkalinity,tco2,pco2,co2,pHt,salinity,temp,year
2030.03,1875.37,337.25,15.09,8.074,29.511,10.3695,2017
1998.39,1852.86,349.15,15.6,8.055,29.252,10.454,2017
1952.02,1819.05,362.25,16.16,8.035,28.2885,10.66,2017
1927.64,1796.66,355.73,15.96,8.038,28.013,10.538,2017
1924.17,1792.38,352.1,15.84,8.04,28.138,10.433,2017
1941.19,1808.61,355.42,16,8.04,28.2,10.4135,2017
1926.8,1796.94,357.58,16.11,8.035,28.121,10.404,2017
1921.02,1808.48,400.56,18.25,7.99,27.869,10.095,2017
1898.25,1788.02,394.64,18.11,7.992,27.527,9.948,2017
2018.7,1887.22,390.99,17.7,8.014,29.782,9.958,2017
2030.25,1890.87,374.79,16.93,8.032,29.988,9.985,2017
2026.56,1879.34,351.27,15.91,8.056,29.862,9.939,2017
2019.22,1880.59,370.03,16.8,8.035,29.841,9.858,2017
2011.48,1881.12,389.82,17.73,8.013,29.771,9.833,2017
1988.46,1872.76,422.05,19.3,7.979,29.36,9.731,2017
1990.73,1876.2,425.61,19.5,7.976,29.33,9.684,2017
1978.6,1871.11,439.5,20.24,7.962,28.88,9.6,2017
1964.15,1858.15,439.7,20.25,7.959,28.85,9.61,2017
1952.05,1846.03,433.22,19.96,7.963,28.5855,9.647,2017
1931.61,1823.28,422.24,19.21,7.971,28.277,10.0675,2017
1925.45,1800.25,365.69,16.66,8.026,28.194,10.052,2017
1914.35,1795.83,381.14,17.38,8.007,28.155,10.023,2017
2074.43,1888.51,285.08,12.81,8.144,29.959,10.148,2017
2061.05,1878.4,286.91,12.92,8.139,29.942,10.09,2017
2014.2,1846.14,298.23,13.46,8.118,29.241,10.146,2017
1978.23,1820.86,306.18,13.89,8.103,28.761,10.077,2017
1987.49,1829.6,306.98,13.95,8.103,28.7945,10.011,2017
1951.36,1805.78,319.35,14.59,8.083,28.248,9.951,2017
1934.38,1796.09,328.76,15.08,8.069,27.9575,9.89,2017
1924.82,1790.39,333.16,15.32,8.062,27.757,9.835,2017
1919.17,1793.35,351.37,16.25,8.041,27.654,9.689,2017
1944.09,1817.74,363.79,16.75,8.031,28.2665,9.7235,2017
2050.25,1897.75,343.38,15.59,8.07,29.762,9.878,2017
2053.4,1899.77,344.18,15.59,8.069,29.998,9.91,2017
2070.78,1917.26,349.61,15.83,8.066,29.996,9.92,2017
2059.69,1909.44,354.08,16.04,8.059,29.961,9.921,2017
2043.99,1906.57,377.8,17.21,8.032,29.611,9.803,2017
2007.43,1880.4,389.37,17.87,8.014,29.161,9.662,2017
1995.15,1871.78,394.47,18.14,8.007,29.014,9.63,2017
1949.33,1835.5,402.35,18.59,7.992,28.374,9.586,2017
1935.63,1818.98,389.41,17.93,8.003,28.2,9.725,2017
1913.34,1795.33,375.65,17.29,8.013,27.812,9.815,2017
1883.18,1761.49,353.08,16.24,8.032,27.434,9.8995,2017
1917.5,1790.56,348.97,16.11,8.043,27.717,9.731,2017
1943.88,1811.11,348,15.97,8.048,28.326,9.814,2017
2031.78,1873.02,324.7,14.67,8.088,29.595,10.06,2017
2046.32,1884.96,326.47,14.69,8.088,29.911,10.119,2017
2062.18,1901.15,332.93,14.95,8.083,29.9835,10.165,2017
2044.83,1891.28,341.09,15.4,8.072,29.68,10.053,2017
1980.27,1843.56,354.76,16.18,8.046,28.879,9.894,2017
1963.29,1829.69,353.82,16.23,8.044,28.6375,9.769,2017
1863.9,1754.16,372.24,17.39,8.009,26.9635,9.503,2017
1844.09,1740.87,381.09,17.93,7.996,26.593,9.366,2017
1855.5,1750.07,379.62,17.83,8,26.792,9.375,2017
1918.85,1807.23,384.34,18.12,8.005,27.634,9.121,2017
1929.49,1812.01,376.31,17.6,8.015,28.049,9.286,2017
2049.86,1907.11,369.91,16.81,8.04,30.0985,9.802,2017
2077.37,1930.73,375.97,16.93,8.038,30.657,9.9665,2017
2069.85,1924.37,377.14,16.98,8.035,30.7045,9.962,2017
2093.49,1946.91,381.59,17.2,8.035,30.773,9.9275,2017
2078.7,1940.92,395.85,17.98,8.018,30.569,9.723,2017
2066.1,1933.2,401.33,18.33,8.011,30.31,9.6015,2017
2024.31,1899.44,403.09,18.56,8.003,29.6515,9.471,2017
1982.19,1863.16,402.47,18.59,7.996,29.1635,9.463,2017
1963.4,1838.38,376.64,17.39,8.019,28.919,9.5145,2017
1963.71,1832.69,362.16,16.65,8.034,28.9835,9.631,2017
1991.51,1852.78,351.22,16.06,8.052,28.806,9.835,2017
1904.71,1756.97,296.88,13.68,8.102,28.0165,9.741,2017
1898.78,1743.89,275.1,12.78,8.13,27.661,9.5465,2017
1889.34,1741.31,282.56,13.24,8.119,27.444,9.335,2017
2083.69,1926.43,351.46,15.82,8.065,30.655,9.993,2017
2083.5,1930.41,360.7,16.25,8.055,30.597,9.968,2017
2091.58,1939.13,365.72,16.47,8.051,30.708,9.965,2017
2046.83,1904.59,373.71,16.92,8.035,30.345,9.866,2017
2032.1,1896.97,377.51,17.31,8.03,29.641,9.597,2017
1946.09,1820.48,360.29,16.84,8.034,28.372,9.252,2017
1910.51,1793.29,365.46,17.24,8.023,27.825,9.062,2017
1914.75,1799.24,371.71,17.56,8.017,27.857,9.029,2017
1936.89,1818.52,370.95,17.58,8.021,28.22,8.8655,2017
1932.05,1814.51,368.73,17.57,8.022,28.117,8.726,2017
1992.24,1861.04,365.33,17.12,8.034,29.5365,8.9655,2017
2060.92,1919.03,374.23,17.1,8.037,30.315,9.584,2017
2053.22,1912.36,375.64,17.14,8.034,30.358,9.6195,2017
2051.31,1911.4,377.65,17.26,8.031,30.441,9.57,2017
2061.8,1922.87,381.61,17.5,8.029,30.4175,9.464,2017
2047.07,1914.68,393.04,18.09,8.015,30.322,9.371,2017
2006.9,1885.82,396.72,18.69,8.005,29.521,8.8125,2017
1908.43,1801.38,388.7,18.63,7.998,27.763,8.614,2017
1896.99,1787.08,374.36,17.96,8.011,27.602,8.616,2017
1914.89,1794.46,359.54,16.96,8.029,28.131,9.011,2017
1912.4,1785.48,343.49,16.07,8.047,27.989,9.287,2017
1886.92,1758.87,331.17,15.46,8.057,27.565,9.429,2017
