time,chlorophyll
20170609T23:15:00Z,2.5
20170609T23:30:00Z,5.1
20170609T23:45:00Z,4.9
20170610T00:00:00Z,6.4
20170610T00:15:00Z,7.2
20170610T00:30:00Z,7.6
20170610T00:45:00Z,6.7
20170610T01:00:00Z,7
20170610T01:15:00Z,8.3
20170610T01:30:00Z,7.5
20170610T01:45:00Z,9
20170610T02:00:00Z,10.7
20170610T02:15:00Z,8.9
20170610T02:30:00Z,3.5
20170610T02:45:00Z,4.9
20170610T03:00:00Z,11.9
20170610T03:15:00Z,9.4
20170610T03:30:00Z,8.1
20170610T03:45:00Z,8.2
20170610T04:00:00Z,6.7
20170610T04:15:00Z,6
20170610T04:30:00Z,6.6
20170610T04:45:00Z,6.9
20170610T05:00:00Z,8.9
20170610T05:15:00Z,9.3
20170610T05:30:00Z,6.9
20170610T05:45:00Z,10.4
20170610T06:00:00Z,10.6
20170610T06:15:00Z,7.9
20170610T06:30:00Z,8.1
20170610T06:45:00Z,9.1
20170610T07:00:00Z,9.9
20170610T07:15:00Z,7.5
20170610T07:30:00Z,8.3
20170610T07:45:00Z,6.6
20170610T08:00:00Z,6
20170610T08:15:00Z,4.4
20170610T08:30:00Z,4
20170610T08:45:00Z,4
20170610T09:00:00Z,6.2
20170610T09:15:00Z,5.4
20170610T09:30:00Z,6.4
20170610T09:45:00Z,8
20170610T10:00:00Z,8.2
20170610T10:15:00Z,8.3
20170610T10:30:00Z,6.8
20170610T10:45:00Z,8.4
20170610T11:00:00Z,9.9
20170610T11:15:00Z,8.2
20170610T11:30:00Z,9.9
20170610T11:45:00Z,8.9
20170610T12:00:00Z,5.3
20170610T12:15:00Z,9.8
20170610T12:30:00Z,8.7
20170610T12:45:00Z,10.7
20170610T13:00:00Z,12.2
20170610T13:15:00Z,8.2
20170610T13:30:00Z,8.9
20170610T13:45:00Z,7.9
20170610T14:00:00Z,6.2
20170610T14:15:00Z,4.8
20170610T14:30:00Z,7.1
20170610T14:45:00Z,4.6
20170610T15:00:00Z,11
20170610T15:15:00Z,9.5
20170610T15:30:00Z,7.8
20170610T15:45:00Z,8.8
20170610T16:00:00Z,7.8
20170610T16:15:00Z,7.4
20170610T16:30:00Z,9.8
20170610T16:45:00Z,7.3
20170610T17:00:00Z,10.6
20170610T17:15:00Z,8.7
20170610T17:30:00Z,7.1
20170610T17:45:00Z,6.6
20170610T18:00:00Z,7.8
20170610T18:15:00Z,7.3
20170610T18:30:00Z,6.1
20170610T18:45:00Z,6.1
20170610T19:00:00Z,4.3
20170610T19:15:00Z,5.1
20170610T19:30:00Z,3.7
20170610T19:45:00Z,3.5
20170610T20:00:00Z,3.4
20170610T20:15:00Z,3.4
20170610T20:30:00Z,3.1
20170610T20:45:00Z,3.4
20170610T21:00:00Z,1.9
20170610T21:15:00Z,1.6
20170610T21:30:00Z,1.4
20170610T21:45:00Z,2.8
20170610T22:00:00Z,2.3
20170610T22:15:00Z,2.5
20170610T22:30:00Z,3
20170610T22:45:00Z,3.8
20170610T23:00:00Z,4.6
20170610T23:15:00Z,3.6
20170610T23:30:00Z,3.2
20170610T23:45:00Z,4.2
20170611T00:00:00Z,4.3
20170611T00:15:00Z,4.4
20170611T00:30:00Z,5.3
20170611T00:45:00Z,6
20170611T01:00:00Z,6.7
20170611T01:15:00Z,6.8
20170611T01:30:00Z,5.7
20170611T01:45:00Z,6.5
20170611T02:00:00Z,8.7
20170611T02:15:00Z,7.4
20170611T02:30:00Z,6.2
20170611T02:45:00Z,7.2
20170611T03:00:00Z,5.3
20170611T03:15:00Z,7.6
20170611T03:30:00Z,7.5
20170611T03:45:00Z,6.2
20170611T04:00:00Z,4.7
20170611T04:15:00Z,6.7
20170611T04:30:00Z,7.3
20170611T04:45:00Z,5.4
20170611T05:00:00Z,8.5
20170611T05:15:00Z,7.9
20170611T05:30:00Z,7
20170611T05:45:00Z,8.2
20170611T06:00:00Z,8.3
20170611T06:15:00Z,8
20170611T06:30:00Z,7.4
20170611T06:45:00Z,7
20170611T07:00:00Z,6.2
20170611T07:15:00Z,7.4
20170611T07:30:00Z,6.9
20170611T07:45:00Z,7.1
20170611T08:00:00Z,7.6
20170611T08:15:00Z,8.2
20170611T08:30:00Z,6.3
20170611T08:45:00Z,5.7
20170611T09:00:00Z,4.5
20170611T09:15:00Z,3.8
20170611T09:30:00Z,4.9
20170611T09:45:00Z,4.7
20170611T10:00:00Z,4.5
20170611T10:15:00Z,5.3
20170611T10:30:00Z,8.2
20170611T10:45:00Z,8
20170611T11:00:00Z,7.7
20170611T11:15:00Z,6.4
20170611T11:30:00Z,8.6
20170611T11:45:00Z,7.6
20170611T12:00:00Z,7.6
20170611T12:15:00Z,8.2
20170611T12:30:00Z,5
20170611T12:45:00Z,6.3
20170611T13:00:00Z,8.9
20170611T13:15:00Z,7.5
20170611T13:30:00Z,10.1
20170611T13:45:00Z,10.8
20170611T14:00:00Z,9.6
20170611T14:15:00Z,6.8
20170611T14:30:00Z,12.1
20170611T14:45:00Z,4.9
20170611T15:00:00Z,8.9
20170611T15:15:00Z,5.9
20170611T15:30:00Z,11.7
20170611T15:45:00Z,7.1
20170611T16:00:00Z,8.8
20170611T16:15:00Z,6.6
20170611T16:30:00Z,6.5
20170611T16:45:00Z,6.6
20170611T17:00:00Z,8.3
20170611T17:15:00Z,6.7
20170611T17:30:00Z,8.3
20170611T17:45:00Z,7.2
20170611T18:00:00Z,8
20170611T18:15:00Z,5.4
20170611T18:30:00Z,6.3
20170611T18:45:00Z,3.5
20170611T19:00:00Z,4.3
20170611T19:15:00Z,3.3
20170611T19:30:00Z,5.1
20170611T19:45:00Z,4.9
20170611T20:00:00Z,4.1
20170611T20:15:00Z,3.9
20170611T20:30:00Z,3.5
20170611T20:45:00Z,1.9
20170611T21:00:00Z,2.6
20170611T21:15:00Z,2.8
20170611T21:30:00Z,2.7
20170611T21:45:00Z,2
20170611T22:00:00Z,3.6
20170611T22:15:00Z,2
20170611T22:30:00Z,1.4
20170611T22:45:00Z,2.5
20170611T23:00:00Z,2.7
20170611T23:15:00Z,1.8
20170611T23:30:00Z,3
20170611T23:45:00Z,2.9
20170612T00:00:00Z,3.8
20170612T00:15:00Z,3.6
20170612T00:30:00Z,3.3
20170612T00:45:00Z,4
20170612T01:00:00Z,3.5
